query,cpu,disk,executionTime
"SELECT AVG(TOTAL) FROM (SELECT PLAYERNO, SUM(AMOUNT) AS TOTAL FROM PENALTIES GROUP BY PLAYERNO) AS TOTALS WHERE PLAYERNO IN (SELECT PLAYERNO FROM PLAYERS WHERE TOWN = 'STRATFORD' OR TOWN = 'INGLEWOOD')",20,5,20
"SELECT PLAYERS.PLAYERNO, NAME, NUMBER_OF_PENALTIES, NUMBER_OF_TEAMS FROM   PLAYERS,  (SELECT PLAYERNO, COUNT(*) AS NUMBER_OF_PENALTIES FROM   PENALTIES GROUP BY PLAYERNO) AS NUMBER_PENALTIES,  (SELECT PLAYERNO, COUNT(*) AS NUMBER_OF_TEAMS FROM   TEAMS GROUP BY PLAYERNO) AS NUMBER_TEAMS WHERE  PLAYERS.PLAYERNO = NUMBER_PENALTIES.PLAYERNO AND  PLAYERS.PLAYERNO = NUMBER_TEAMS.PLAYERNO;",22,2,20
"SELECT  DISTINCT M.PLAYERNO, NUMBERP FROM MATCHES AS M LEFT OUTER JOIN  (SELECT PLAYERNO, COUNT(*) AS NUMBERP FROM  PENALTIES GROUP BY PLAYERNO) AS NP ON M.PLAYERNO = NP.PLAYERNO ",15,2,20
"SELECT GROUPS.PGROUP, SUM(P.AMOUNT) FROM  PENALTIES AS P, (SELECT 1 AS PGROUP, '1980-01-01' AS START,  '1981-06-30' AS END  UNION  SELECT 2, '1981-07-01', '1982-12-31'  UNION  SELECT 3, '1983-01-01', '1984-12-31') AS GROUPS WHERE P.PAYMENT_DATE BETWEEN START AND END GROUP BY GROUPS.PGROUP ORDER BY 1;",22,5,20
"SELECT P1.PAYMENTNO, P1.AMOUNT, SUM(P2.AMOUNT) FROM  PENALTIES AS P1, PENALTIES AS P2 WHERE P1.PAYMENTNO >= P2. PAYMENTNO GROUP BY P1. PAYMENTNO, P1.AMOUNT ORDER BY P1. PAYMENTNO;",18,2,20
"SELECT * FROM CATEGORIES C ,PRODUCTS P WHERE P.CATEGORYID = C.CATEGORYID;",17,2,20
"SELECT * FROM EMPLOYEE E,BONUS B WHERE E.EMPNO=B.EMPNO;",16,2,20
"SELECT * FROM EMPLOYEE INNER JOIN EBONUS B ON E.EMPNO=B.EMPNO;",18,8,20
"SELECT * FROM EMPLOYEE E, SALARY_GRADE SD WHERE E.SAL<=SD.LOWSAL;",12,2,20
"SELECT * FROM EMP E, DEPT D WHERE D.DEPTNO BETWEEN 10 AND 20;",13,7,20
"SELECT * FROM EMP WHERE EMP_DETAILS.CITY IN('DELHI','BANGALORE');",8,2,20
