query,cpu,disk,executionTime
"SELECT E.BONUS, P.COUNT, D.* FROM PRODUCT P INNER JOIN EMP E ON E.ID = P.EMPID LEFT OUTER JOIN (SELECT * FROM DEPT) D ON D.EMPID = P.EMPID WHERE E.ID <10000 AND E.NAME LIKE 'A%';",60,8,1000
"SELECT * FROM SYS.OBJECTS, SYS.INDEXES;",40,9,2000
"SELECT * FROM EMP,DEPT,PRODUCTS,RECORDS,ACCOUNT;",20,11,210
"SELECT E.ENAME,E.SAL,D.DEPTNO FROM EMP E,DEPT D WHERE E.DEPTNO=D.DEPTNO;",24,9,234
"SELECT COUNT(EMPNO), B.DEPTNO, DNAME FROM EMP A, DEPT B  WHERE A.DEPTNO(+)=B.DEPTNO  GROUP BY B.DEPTNO,DNAME;",33,12,200
"SELECT  * FROM DEPT D WHERE NOT EXIST (SELECT * FROM EMP E WHERE D.DEPTNO = E.DEPTNO);",30,5,156
"SELECT AVG(TOTAL) FROM (SELECT PLAYERNO, SUM(AMOUNT) AS TOTAL FROM PENALTIES GROUP BY PLAYERNO) AS TOTALS WHERE PLAYERNO IN (SELECT PLAYERNO FROM PLAYERS WHERE TOWN = 'STRATFORD' OR TOWN = 'INGLEWOOD');",31,8,318
"SELECT GROUPS.PGROUP, SUM(P.AMOUNT) FROM  PENALTIES AS P, (SELECT 1 AS PGROUP, '1980-01-01' AS START,  '1981-06-30' AS END  UNION  SELECT 2, '1981-07-01', '1982-12-31'  UNION  SELECT 3, '1983-01-01', '1984-12-31') AS GROUPS WHERE P.PAYMENT_DATE BETWEEN START AND END GROUP BY GROUPS.PGROUP ORDER BY 1;",30,5,360
"SELECT  DISTINCT M.PLAYERNO, NUMBERP FROM MATCHES AS M LEFT OUTER JOIN  (SELECT PLAYERNO, COUNT(*) AS NUMBERP FROM  PENALTIES GROUP BY PLAYERNO) AS NP ON M.PLAYERNO = NP.PLAYERNO;",30,2,270
"SELECT PLAYERS.PLAYERNO, NAME, NUMBER_OF_PENALTIES, NUMBER_OF_TEAMS FROM   PLAYERS,  (SELECT PLAYERNO, COUNT(*) AS NUMBER_OF_PENALTIES FROM   PENALTIES GROUP BY PLAYERNO) AS NUMBER_PENALTIES,  (SELECT PLAYERNO, COUNT(*) AS NUMBER_OF_TEAMS FROM   TEAMS GROUP BY PLAYERNO) AS NUMBER_TEAMS WHERE  PLAYERS.PLAYERNO = NUMBER_PENALTIES.PLAYERNO AND  PLAYERS.PLAYERNO = NUMBER_TEAMS.PLAYERNO;",29,8,222
"SELECT DISTINCT SAL FROM EMP A  WHERE 3 >= (SELECT COUNT(DISTINCT SAL) FROM EMP B  WHERE A.SAL >= B.SAL);",32,9,198
"SELECT EMPNO,ENAME,B.DEPTNO,DNAME FROM EMP A, DEPT B WHERE A.DEPTNO(+) = B.DEPTNO AND EMPNO IS NULL;",36,7,252
"SELECT DISTINCT SAL FROM EMP A WHERE 3 >= (SELECT COUNT(DISTINCT SAL) FROM EMP B WHERE A.SAL <= B.SAL) ORDER BY A.SAL DESC;",35,10,234
